肖申克的救赎,9.7,弗兰克·德拉邦特 Frank Darabont,https://movie.douban.com/subject/1292052/
霸王别姬,9.6,陈凯歌 Kaige Chen,https://movie.douban.com/subject/1291546/
阿甘正传,9.5,罗伯特·泽米吉斯 Robert Zemeckis,https://movie.douban.com/subject/1292720/
泰坦尼克号,9.5,詹姆斯·卡梅隆 James Cameron,https://movie.douban.com/subject/1292722/
这个杀手不太冷,9.4,吕克·贝松 Luc Besson,https://movie.douban.com/subject/1295644/
千与千寻,9.4,宫崎骏 Hayao Miyazaki,https://movie.douban.com/subject/1291561/
美丽人生,9.6,罗伯托·贝尼尼 Roberto Benigni,https://movie.douban.com/subject/1292063/
辛德勒的名单,9.6,史蒂文·斯皮尔伯格 Steven Spielberg,https://movie.douban.com/subject/1295124/
星际穿越,9.4,克里斯托弗·诺兰 Christopher Nolan,https://movie.douban.com/subject/1889243/
盗梦空间,9.4,克里斯托弗·诺兰 Christopher Nolan,https://movie.douban.com/subject/3541415/
楚门的世界,9.4,彼得·威尔 Peter Weir,https://movie.douban.com/subject/1292064/
忠犬八公的故事,9.4,莱塞·霍尔斯道姆 Lasse Hallström,https://movie.douban.com/subject/3011091/
海上钢琴师,9.3,朱塞佩·托纳多雷 Giuseppe Tornatore,https://movie.douban.com/subject/1292001/
三傻大闹宝莱坞,9.2,拉库马·希拉尼 Rajkumar Hirani,https://movie.douban.com/subject/3793023/
放牛班的春天,9.3,克里斯托夫·巴拉蒂 Christophe Barratier,https://movie.douban.com/subject/1291549/
机器人总动员,9.3,安德鲁·斯坦顿 Andrew Stanton,https://movie.douban.com/subject/2131459/
无间道,9.3,刘伟强 / 麦兆辉,https://movie.douban.com/subject/1307914/
疯狂动物城,9.2,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,https://movie.douban.com/subject/25662329/
控方证人,9.6,比利·怀尔德 Billy Wilder,https://movie.douban.com/subject/1296141/
大话西游之大圣娶亲,9.2,刘镇伟 Jeffrey Lau,https://movie.douban.com/subject/1292213/
熔炉,9.4,黄东赫 Dong-hyuk Hwang,https://movie.douban.com/subject/5912992/
教父,9.3,弗朗西斯·福特·科波拉 Francis Ford Coppola,https://movie.douban.com/subject/1291841/
触不可及,9.3,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,https://movie.douban.com/subject/6786002/
当幸福来敲门,9.2,加布里尔·穆奇诺 Gabriele Muccino,https://movie.douban.com/subject/1849031/
末代皇帝,9.3,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,https://movie.douban.com/subject/1293172/
龙猫,9.2,宫崎骏 Hayao Miyazaki,https://movie.douban.com/subject/1291560/
怦然心动,9.1,罗伯·莱纳 Rob Reiner,https://movie.douban.com/subject/3319755/
寻梦环游记,9.1,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,https://movie.douban.com/subject/20495023/
活着,9.3,张艺谋 Yimou Zhang,https://movie.douban.com/subject/1292365/
蝙蝠侠：黑暗骑士,9.2,克里斯托弗·诺兰 Christopher Nolan,https://movie.douban.com/subject/1851857/
哈利·波特与魔法石,9.2,Chris Columbus,https://movie.douban.com/subject/1295038/
指环王3：王者无敌,9.3,彼得·杰克逊 Peter Jackson,https://movie.douban.com/subject/1291552/
我不是药神,9.0,文牧野 Muye Wen,https://movie.douban.com/subject/26752088/
乱世佳人,9.3,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,https://movie.douban.com/subject/1300267/
飞屋环游记,9.1,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,https://movie.douban.com/subject/2129039/
素媛,9.3,李濬益 Jun-ik Lee,https://movie.douban.com/subject/21937452/
哈尔的移动城堡,9.1,宫崎骏 Hayao Miyazaki,https://movie.douban.com/subject/1308807/
十二怒汉,9.4,Sidney Lumet,https://movie.douban.com/subject/1293182/
何以为家,9.1,娜丁·拉巴基 Nadine Labaki,https://movie.douban.com/subject/30170448/
摔跤吧！爸爸,9.0,涅提·蒂瓦里 Nitesh Tiwari,https://movie.douban.com/subject/26387939/
让子弹飞,9.0,姜文 Wen Jiang,https://movie.douban.com/subject/3742360/
天空之城,9.2,宫崎骏 Hayao Miyazaki,https://movie.douban.com/subject/1291583/
鬼子来了,9.3,姜文 Wen Jiang,https://movie.douban.com/subject/1291858/
猫鼠游戏,9.1,史蒂文·斯皮尔伯格 Steven Spielberg,https://movie.douban.com/subject/1305487/
少年派的奇幻漂流,9.1,李安 Ang Lee,https://movie.douban.com/subject/1929463/
海蒂和爷爷,9.3,阿兰·葛斯彭纳 Alain Gsponer,https://movie.douban.com/subject/25958717/
钢琴家,9.3,罗曼·波兰斯基 Roman Polanski,https://movie.douban.com/subject/1296736/
大话西游之月光宝盒,9.0,刘镇伟 Jeffrey Lau,https://movie.douban.com/subject/1299398/
指环王2：双塔奇兵,9.2,彼得·杰克逊 Peter Jackson,https://movie.douban.com/subject/1291572/
闻香识女人,9.1,马丁·布莱斯 Martin Brest,https://movie.douban.com/subject/1298624/
罗马假日,9.1,威廉·惠勒 William Wyler,https://movie.douban.com/subject/1293839/
死亡诗社,9.2,彼得·威尔 Peter Weir,https://movie.douban.com/subject/1291548/
天堂电影院,9.2,朱塞佩·托纳多雷 Giuseppe Tornatore,https://movie.douban.com/subject/1291828/
绿皮书,8.9,彼得·法雷里 Peter Farrelly,https://movie.douban.com/subject/27060077/
大闹天宫,9.4,万籁鸣 Laiming Wan,https://movie.douban.com/subject/1418019/
黑客帝国,9.1,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,https://movie.douban.com/subject/1291843/
指环王1：护戒使者,9.1,彼得·杰克逊 Peter Jackson,https://movie.douban.com/subject/1291571/
教父2,9.3,弗朗西斯·福特·科波拉 Francis Ford Coppola,https://movie.douban.com/subject/1299131/
狮子王,9.1,Roger Allers / 罗伯·明可夫 Rob Minkoff,https://movie.douban.com/subject/1301753/
辩护人,9.2,杨宇硕 Woo-seok Yang,https://movie.douban.com/subject/21937445/
饮食男女,9.2,李安 Ang Lee,https://movie.douban.com/subject/1291818/
搏击俱乐部,9.0,大卫·芬奇 David Fincher,https://movie.douban.com/subject/1292000/
美丽心灵,9.1,朗·霍华德 Ron Howard,https://movie.douban.com/subject/1306029/
本杰明·巴顿奇事,9.0,大卫·芬奇 David Fincher,https://movie.douban.com/subject/1485260/
穿条纹睡衣的男孩,9.2,马克·赫尔曼 Mark Herman,https://movie.douban.com/subject/3008247/
窃听风暴,9.2,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n,https://movie.douban.com/subject/1900841/
情书,8.9,岩井俊二 Shunji Iwai,https://movie.douban.com/subject/1292220/
两杆大烟枪,9.1,盖·里奇 Guy Ritchie,https://movie.douban.com/subject/1293350/
西西里的美丽传说,8.9,朱塞佩·托纳多雷 Giuseppe Tornatore,https://movie.douban.com/subject/1292402/
音乐之声,9.1,罗伯特·怀斯 Robert Wise,https://movie.douban.com/subject/1294408/
看不见的客人,8.8,奥里奥尔·保罗 Oriol Paulo,https://movie.douban.com/subject/26580232/
阿凡达,8.8,詹姆斯·卡梅隆 James Cameron,https://movie.douban.com/subject/1652587/
拯救大兵瑞恩,9.1,史蒂文·斯皮尔伯格 Steven Spielberg,https://movie.douban.com/subject/1292849/
哈利·波特与死亡圣器(下),9.0,大卫·叶茨 David Yates,https://movie.douban.com/subject/3011235/
飞越疯人院,9.1,米洛斯·福尔曼 Miloš Forman,https://movie.douban.com/subject/1292224/
小鞋子,9.2,马基德·马基迪 Majid Majidi,https://movie.douban.com/subject/1303021/
沉默的羔羊,8.9,乔纳森·戴米 Jonathan Demme,https://movie.douban.com/subject/1293544/
布达佩斯大饭店,8.9,韦斯·安德森 Wes Anderson,https://movie.douban.com/subject/11525673/
禁闭岛,8.9,Martin Scorsese,https://movie.douban.com/subject/2334904/
功夫,8.8,周星驰 Stephen Chow,https://movie.douban.com/subject/1291543/
蝴蝶效应,8.9,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,https://movie.douban.com/subject/1292343/
致命魔术,8.9,克里斯托弗·诺兰 Christopher Nolan,https://movie.douban.com/subject/1780330/
哈利·波特与阿兹卡班的囚徒,8.9,Alfonso Cuarón,https://movie.douban.com/subject/1291544/
心灵捕手,8.9,格斯·范·桑特 Gus Van Sant,https://movie.douban.com/subject/1292656/
海豚湾,9.3,路易·西霍尤斯 Louie Psihoyos,https://movie.douban.com/subject/3442220/
超脱,9.0,托尼·凯耶 Tony Kaye,https://movie.douban.com/subject/5322596/
低俗小说,8.9,昆汀·塔伦蒂诺 Quentin Tarantino,https://movie.douban.com/subject/1291832/
春光乍泄,9.0,王家卫 Kar Wai Wong,https://movie.douban.com/subject/1292679/
摩登时代,9.3,查理·卓别林 Charles Chaplin,https://movie.douban.com/subject/1294371/
美国往事,9.2,赛尔乔·莱翁内 Sergio Leone,https://movie.douban.com/subject/1292262/
喜剧之王,8.8,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,https://movie.douban.com/subject/1302425/
致命ID,8.9,詹姆斯·曼高德 James Mangold,https://movie.douban.com/subject/1297192/
杀人回忆,8.9,奉俊昊 Joon-ho Bong,https://movie.douban.com/subject/1300299/
七宗罪,8.8,大卫·芬奇 David Fincher,https://movie.douban.com/subject/1292223/
红辣椒,9.1,今敏 Satoshi Kon,https://movie.douban.com/subject/1865703/
加勒比海盗,8.8,戈尔·维宾斯基 Gore Verbinski,https://movie.douban.com/subject/1298070/
哈利·波特与密室,8.9,Chris Columbus,https://movie.douban.com/subject/1296996/
一一,9.1,杨德昌 Edward Yang,https://movie.douban.com/subject/1292434/
狩猎,9.1,托马斯·温特伯格 Thomas Vinterberg,https://movie.douban.com/subject/6985810/
唐伯虎点秋香,8.7,李力持 Lik-Chi Lee,https://movie.douban.com/subject/1306249/
7号房的礼物,8.9,李焕庆 Hwan-kyeong Lee,https://movie.douban.com/subject/10777687/
被嫌弃的松子的一生,8.9,中岛哲也 Tetsuya Nakashima,https://movie.douban.com/subject/1787291/
请以你的名字呼唤我,8.9,卢卡·瓜达尼诺 Luca Guadagnino,https://movie.douban.com/subject/26799731/
断背山,8.8,李安 Ang Lee,https://movie.douban.com/subject/1418834/
剪刀手爱德华,8.7,蒂姆·波顿 Tim Burton,https://movie.douban.com/subject/1292370/
爱在黎明破晓前,8.8,理查德·林克莱特 Richard Linklater,https://movie.douban.com/subject/1296339/
入殓师,8.9,泷田洋二郎 Yôjirô Takita,https://movie.douban.com/subject/2149806/
蝙蝠侠：黑暗骑士崛起,8.8,克里斯托弗·诺兰 Christopher Nolan,https://movie.douban.com/subject/3395373/
勇敢的心,8.9,梅尔·吉布森 Mel Gibson,https://movie.douban.com/subject/1294639/
第六感,8.9,M·奈特·沙马兰 M. Night Shyamalan,https://movie.douban.com/subject/1297630/
重庆森林,8.8,王家卫 Kar Wai Wong,https://movie.douban.com/subject/1291999/
超能陆战队,8.7,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,https://movie.douban.com/subject/11026735/
幽灵公主,8.9,宫崎骏 Hayao Miyazaki,https://movie.douban.com/subject/1297359/
爱在日落黄昏时,8.9,理查德·林克莱特 Richard Linklater,https://movie.douban.com/subject/1291990/
甜蜜蜜,8.9,陈可辛 Peter Chan,https://movie.douban.com/subject/1305164/
菊次郎的夏天,8.9,北野武 Takeshi Kitano,https://movie.douban.com/subject/1293359/
借东西的小人阿莉埃蒂,8.9,米林宏昌 Hiromasa Yonebayashi,https://movie.douban.com/subject/4202302/
天使爱美丽,8.7,让-皮埃尔·热内 Jean-Pierre Jeunet,https://movie.douban.com/subject/1292215/
消失的爱人,8.7,大卫·芬奇 David Fincher,https://movie.douban.com/subject/21318488/
阳光灿烂的日子,8.8,姜文 Wen Jiang,https://movie.douban.com/subject/1291875/
小森林 夏秋篇,9.0,森淳一 Junichi Mori,https://movie.douban.com/subject/25814705/
完美的世界,9.1,克林特·伊斯特伍德 Clint Eastwood,https://movie.douban.com/subject/1300992/
无人知晓,9.1,是枝裕和 Hirokazu Koreeda,https://movie.douban.com/subject/1292337/
倩女幽魂,8.8,程小东 Siu-Tung Ching,https://movie.douban.com/subject/1297447/
寄生虫,8.8,奉俊昊 Joon-ho Bong,https://movie.douban.com/subject/27010768/
时空恋旅人,8.8,理查德·柯蒂斯 Richard Curtis,https://movie.douban.com/subject/10577869/
侧耳倾听,8.9,近藤喜文 Yoshifumi Kondo,https://movie.douban.com/subject/1297052/
小森林 冬春篇,9.0,森淳一 Junichi Mori,https://movie.douban.com/subject/25814707/
幸福终点站,8.8,史蒂文·斯皮尔伯格 Steven Spielberg,https://movie.douban.com/subject/1292274/
驯龙高手,8.8,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,https://movie.douban.com/subject/2353023/
一个叫欧维的男人决定去死,8.9,汉内斯·赫尔姆 Hannes Holm,https://movie.douban.com/subject/26628357/
未麻的部屋,9.1,今敏 Satoshi Kon,https://movie.douban.com/subject/1395091/
教父3,9.0,弗朗西斯·福特·科波拉 Francis Ford Coppola,https://movie.douban.com/subject/1294240/
哈利·波特与火焰杯,8.8,迈克·内威尔 Mike Newell,https://movie.douban.com/subject/1309055/
怪兽电力公司,8.8,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,https://movie.douban.com/subject/1291579/
萤火之森,8.9,大森贵弘 Takahiro Omori,https://movie.douban.com/subject/5989818/
傲慢与偏见,8.7,乔·怀特 Joe Wright,https://movie.douban.com/subject/1418200/
玩具总动员3,8.9,李·昂克里奇 Lee Unkrich,https://movie.douban.com/subject/1858711/
新世界,8.9,朴勋政 Hoon-jung Park,https://movie.douban.com/subject/10437779/
釜山行,8.6,延尚昊 Sang-ho Yeon,https://movie.douban.com/subject/25986180/
神偷奶爸,8.7,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,https://movie.douban.com/subject/3287562/
被解救的姜戈,8.8,昆汀·塔伦蒂诺 Quentin Tarantino,https://movie.douban.com/subject/6307447/
玛丽和马克思,9.0,亚当·艾略特 Adam Elliot,https://movie.douban.com/subject/3072124/
告白,8.8,中岛哲也 Tetsuya Nakashima,https://movie.douban.com/subject/4268598/
哪吒闹海,9.2,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,https://movie.douban.com/subject/1307315/
大鱼,8.8,蒂姆·波顿 Tim Burton,https://movie.douban.com/subject/1291545/
茶馆,9.6,谢添 Tian Xie,https://movie.douban.com/subject/1461403/
射雕英雄传之东成西就,8.7,刘镇伟 Jeffrey Lau,https://movie.douban.com/subject/1316510/
九品芝麻官,8.7,王晶 Jing Wong,https://movie.douban.com/subject/1297518/
头号玩家,8.7,史蒂文·斯皮尔伯格 Steven Spielberg,https://movie.douban.com/subject/4920389/
喜宴,9.0,李安 Ang Lee,https://movie.douban.com/subject/1303037/
模仿游戏,8.8,莫滕·泰杜姆 Morten Tyldum,https://movie.douban.com/subject/10463953/
色，戒,8.7,李安 Ang Lee,https://movie.douban.com/subject/1828115/
阳光姐妹淘,8.8,姜炯哲 Hyeong-Cheol Kang,https://movie.douban.com/subject/4917726/
我是山姆,9.0,杰茜·尼尔森 Jessie Nelson,https://movie.douban.com/subject/1306861/
花样年华,8.7,王家卫 Kar Wai Wong,https://movie.douban.com/subject/1291557/
血战钢锯岭,8.7,梅尔·吉布森 Mel Gibson,https://movie.douban.com/subject/26325320/
头脑特工队,8.8,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb,https://movie.douban.com/subject/10533913/
恐怖直播,8.7,金秉祐 Byeong-woo Kim,https://movie.douban.com/subject/21360417/
七武士,9.3,黑泽明 Akira Kurosawa,https://movie.douban.com/subject/1295399/
惊魂记,9.0,阿尔弗雷德·希区柯克 Alfred Hitchcock,https://movie.douban.com/subject/1293181/
黑客帝国3：矩阵革命,8.8,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,https://movie.douban.com/subject/1302467/
你的名字。,8.5,新海诚 Makoto Shinkai,https://movie.douban.com/subject/26683290/
电锯惊魂,8.8,詹姆斯·温 James Wan,https://movie.douban.com/subject/1417598/
三块广告牌,8.7,马丁·麦克唐纳 Martin McDonagh,https://movie.douban.com/subject/26611804/
达拉斯买家俱乐部,8.8,让-马克·瓦雷 Jean-Marc Vallée,https://movie.douban.com/subject/1793929/
疯狂原始人,8.7,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,https://movie.douban.com/subject/1907966/
心迷宫,8.7,忻钰坤 Yukun Xin,https://movie.douban.com/subject/25917973/
谍影重重3,8.8,保罗·格林格拉斯 Paul Greengrass,https://movie.douban.com/subject/1578507/
英雄本色,8.6,吴宇森 John Woo,https://movie.douban.com/subject/1297574/
上帝之城,9.0,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp,https://movie.douban.com/subject/1292208/
风之谷,8.9,宫崎骏 Hayao Miyazaki,https://movie.douban.com/subject/1291585/
卢旺达饭店,8.9,特瑞·乔治 Terry George,https://movie.douban.com/subject/1291822/
纵横四海,8.8,吴宇森 John Woo,https://movie.douban.com/subject/1295409/
海街日记,8.8,是枝裕和 Hirokazu Koreeda,https://movie.douban.com/subject/25895901/
爱在午夜降临前,8.9,理查德·林克莱特 Richard Linklater,https://movie.douban.com/subject/10808442/
绿里奇迹,8.9,弗兰克·德拉邦特 Frank Darabont,https://movie.douban.com/subject/1300374/
记忆碎片,8.7,克里斯托弗·诺兰 Christopher Nolan,https://movie.douban.com/subject/1304447/
疯狂的石头,8.6,宁浩 Hao Ning,https://movie.douban.com/subject/1862151/
岁月神偷,8.7,罗启锐 Alex Law,https://movie.douban.com/subject/3792799/
小丑,8.7,托德·菲利普斯 Todd Phillips,https://movie.douban.com/subject/27119724/
忠犬八公物语,9.2,神山征二郎 Seijirô Kôyama,https://movie.douban.com/subject/1959195/
雨中曲,9.1,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,https://movie.douban.com/subject/1293460/
背靠背，脸对脸,9.5,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,https://movie.douban.com/subject/1307856/
荒蛮故事,8.8,达米安·斯兹弗隆 Damián Szifron,https://movie.douban.com/subject/24750126/
2001太空漫游,8.9,斯坦利·库布里克 Stanley Kubrick,https://movie.douban.com/subject/1292226/
小偷家族,8.7,是枝裕和 Hirokazu Koreeda,https://movie.douban.com/subject/27622447/
心灵奇旅,8.7,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,https://movie.douban.com/subject/24733428/
无敌破坏王,8.7,瑞奇·莫尔 Rich Moore,https://movie.douban.com/subject/6534248/
无间道2,8.7,刘伟强 / 麦兆辉,https://movie.douban.com/subject/1307106/
爆裂鼓手,8.7,达米恩·查泽雷 Damien Chazelle,https://movie.douban.com/subject/25773932/
冰川时代,8.6,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,https://movie.douban.com/subject/1291578/
贫民窟的百万富翁,8.6,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,https://movie.douban.com/subject/2209573/
恐怖游轮,8.5,克里斯托弗·史密斯 Christopher Smith,https://movie.douban.com/subject/3011051/
东邪西毒,8.6,王家卫 Kar Wai Wong,https://movie.douban.com/subject/1292328/
牯岭街少年杀人事件,8.9,杨德昌 Edward Yang,https://movie.douban.com/subject/1292329/
魔女宅急便,8.7,宫崎骏 Hayao Miyazaki,https://movie.douban.com/subject/1307811/
遗愿清单,8.7,罗伯·莱纳 Rob Reiner,https://movie.douban.com/subject/1867345/
东京教父,9.0,今敏 Satoshi Kon,https://movie.douban.com/subject/1310177/
大佛普拉斯,8.7,黄信尧 Hsin-yao Huang,https://movie.douban.com/subject/27059130/
你看起来好像很好吃,8.9,藤森雅也 Masaya Fujimori,https://movie.douban.com/subject/4848115/
真爱至上,8.6,理查德·柯蒂斯 Richard Curtis,https://movie.douban.com/subject/1292401/
黑天鹅,8.6,达伦·阿罗诺夫斯基 Darren Aronofsky,https://movie.douban.com/subject/1978709/
可可西里,8.9,陆川 Chuan Lu,https://movie.douban.com/subject/1308857/
城市之光,9.3,Charles Chaplin,https://movie.douban.com/subject/1293908/
源代码,8.5,邓肯·琼斯 Duncan Jones,https://movie.douban.com/subject/3075287/
雨人,8.7,巴瑞·莱文森 Barry Levinson,https://movie.douban.com/subject/1291870/
海边的曼彻斯特,8.6,肯尼斯·罗纳根 Kenneth Lonergan,https://movie.douban.com/subject/25980443/
恋恋笔记本,8.5,尼克·卡索维茨 Nick Cassavetes,https://movie.douban.com/subject/1309163/
初恋这件小事,8.5,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭,https://movie.douban.com/subject/4739952/
波西米亚狂想曲,8.6,布莱恩·辛格 Bryan Singer,https://movie.douban.com/subject/5300054/
人工智能,8.7,史蒂文·斯皮尔伯格 Steven Spielberg,https://movie.douban.com/subject/1302827/
青蛇,8.6,徐克 Hark Tsui,https://movie.douban.com/subject/1303394/
虎口脱险,8.9,杰拉尔·乌里 Gérard Oury,https://movie.douban.com/subject/1296909/
终结者2：审判日,8.8,詹姆斯·卡梅隆 James Cameron,https://movie.douban.com/subject/1291844/
疯狂的麦克斯4：狂暴之路,8.7,乔治·米勒 George Miller,https://movie.douban.com/subject/3592854/
罗生门,8.8,黑泽明 Akira Kurosawa,https://movie.douban.com/subject/1291879/
新龙门客栈,8.7,李惠民 Raymond Lee,https://movie.douban.com/subject/1292287/
末路狂花,8.9,雷德利·斯科特 Ridley Scott,https://movie.douban.com/subject/1291992/
萤火虫之墓,8.7,高畑勋 Isao Takahata,https://movie.douban.com/subject/1293318/
千钧一发,8.8,安德鲁·尼科尔 Andrew Niccol,https://movie.douban.com/subject/1300117/
崖上的波妞,8.6,宫崎骏 Hayao Miyazaki,https://movie.douban.com/subject/1959877/
无耻混蛋,8.6,昆汀·塔伦蒂诺 Quentin Tarantino,https://movie.douban.com/subject/1438652/
彗星来的那一夜,8.6,詹姆斯·沃德·布柯特 James Ward Byrkit,https://movie.douban.com/subject/25807345/
奇迹男孩,8.6,斯蒂芬·卓博斯基 Stephen Chbosky,https://movie.douban.com/subject/26787574/
花束般的恋爱,8.6,土井裕泰 Nobuhiro Doi,https://movie.douban.com/subject/34874432/
二十二,8.7,郭柯 Ke Guo,https://movie.douban.com/subject/26430107/
爱乐之城,8.4,达米恩·查泽雷 Damien Chazelle,https://movie.douban.com/subject/25934014/
黑客帝国2：重装上阵,8.7,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,https://movie.douban.com/subject/1304141/
芙蓉镇,9.3,谢晋 Jin Xie,https://movie.douban.com/subject/1297880/
血钻,8.7,爱德华·兹威克 Edward Zwick,https://movie.douban.com/subject/1428175/
战争之王,8.7,安德鲁·尼科尔 Andrew Niccol,https://movie.douban.com/subject/1419936/
步履不停,8.8,是枝裕和 Hirokazu Koreeda,https://movie.douban.com/subject/2222996/
房间,8.8,伦尼·阿伯拉罕森 Lenny Abrahamson,https://movie.douban.com/subject/25724855/
哈利·波特与死亡圣器(上),8.5,大卫·叶茨 David Yates,https://movie.douban.com/subject/2051007/
魂断蓝桥,8.8,茂文·勒鲁瓦 Mervyn LeRoy,https://movie.douban.com/subject/1293964/
火星救援,8.5,雷德利·斯科特 Ridley Scott,https://movie.douban.com/subject/25864085/
千年女优,8.8,今敏 Satoshi Kon,https://movie.douban.com/subject/1307394/
谍影重重2,8.7,保罗·格林格拉斯 Paul Greengrass,https://movie.douban.com/subject/1308767/
弱点,8.7,约翰·李·汉考克 John Lee Hancock,https://movie.douban.com/subject/3552028/
白日梦想家,8.6,本·斯蒂勒 Ben Stiller,https://movie.douban.com/subject/2133323/
哈利·波特与凤凰社,8.5,大卫·叶茨 David Yates,https://movie.douban.com/subject/1457217/
阿飞正传,8.5,王家卫 Kar Wai Wong,https://movie.douban.com/subject/1305690/
谍影重重,8.6,道格·里曼 Doug Liman,https://movie.douban.com/subject/1304102/
朗读者,8.6,史蒂芬·戴德利 Stephen Daldry,https://movie.douban.com/subject/2213597/
蜘蛛侠：平行宇宙,8.6,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey,https://movie.douban.com/subject/26374197/
燃情岁月,8.8,爱德华·兹威克 Edward Zwick,https://movie.douban.com/subject/1295865/
再次出发之纽约遇见你,8.6,约翰·卡尼 John Carney,https://movie.douban.com/subject/6874403/
香水,8.5,汤姆·提克威 Tom Tykwer,https://movie.douban.com/subject/1760622/
发条橙,8.6,斯坦利·库布里克 Stanley Kubrick,https://movie.douban.com/subject/1292233/
