"ID","Title","Value","Area","type1","type2","type3","type4","type5","type6","Director","Actor","Year"
2148394,"大头儿子和小头爸爸",8.1," 中国大陆 ","动画",NA,NA,NA,NA,NA," 崔世昱 "," 姚培华 符冲",1995
35924066,"虚颜",7.4," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 曾庆杰 "," 柯颖 丞磊",2022
27191348,"画江湖之不良人3",8," 中国大陆 ","动作","动画","武侠",NA,NA,NA," 周飞龙 "," 边江 申秋香",2018
26358696,"我的前半生",6.4," 中国大陆 ","剧情","家庭",NA,NA,NA,NA," 沈严 "," 靳东 马伊琍",2017
34863327,"我才不要和你做朋友呢",8.1," 中国大陆 ","喜剧","爱情","奇幻",NA,NA,NA," 田宇 "," 陈昊宇 庄达菲",2020
26776350,"河神",8.1," 中国大陆 ","剧情","悬疑",NA,NA,NA,NA," 田里 "," 李现 张铭恩",2017
26818236,"曾少年",7.5," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 王雷 刘畅 傅子恩 "," 张一山 关晓彤",2023
1830586,"天下第一",8.4," 中国大陆 中国香港 中国台湾 ","动作","爱情","古装",NA,NA,NA," 邓衍成 韦丽园 "," 郭晋安 霍建华",2005
5989840,"轩辕剑之天之痕",6.8," 中国大陆 ","动作","爱情","奇幻","古装",NA,NA," 李国立 "," 胡歌 蒋劲夫",2012
26461145,"一把青",9.2," 中国台湾 ","剧情","爱情",NA,NA,NA,NA," 曹瑞原 "," 杨谨华 天心",2015
30157168,"烈火军校",6.6," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 惠楷栋 "," 白鹿 许凯",2019
27008416,"致我们单纯的小美好",7.1," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 唐彬 杨龙 "," 胡一天 沈月",2017
30176770,"下一站是幸福",5.9," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 丁梓光 "," 宋茜 宋威龙",2020
27069428,"有翡",5.6," 中国大陆 ","剧情","武侠","古装",NA,NA,NA," 吴锦源 "," 赵丽颖 王一博",2020
35131244,"国子监来了个女弟子",3.9," 中国大陆 ","剧情","爱情","古装",NA,NA,NA," 许珮珊 "," 赵露思 徐开骋",2021
3732699,"神话",7.7," 中国大陆 ","剧情","动作","奇幻",NA,NA,NA," 蒋家骏 "," 胡歌 白冰",2010
34429670,"胆小鬼",7.7," 中国大陆 ","剧情","悬疑",NA,NA,NA,NA," 张晓波 "," 欧豪 王砚辉",2022
35905951,"那些回不去的年少时光",8.2," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 王志勇 "," 赵今麦 白宇帆",2023
35539600,"追光的日子",8," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 韩天 苏浩旗 "," 郭京飞 任敏",2023
35180907,"谁是凶手",6.1," 中国大陆 ","悬疑","犯罪",NA,NA,NA,NA," 孙皓 "," 赵丽颖 肖央",2021
26605881,"大军师司马懿之军师联盟",8.2," 中国大陆 ","剧情","爱情","战争","古装",NA,NA," 张永新 "," 吴秀波 刘涛",2017
2157176,"放羊的星星",8.1," 中国台湾 ","爱情",NA,NA,NA,NA,NA," 陈铭章 "," 林志颖 刘荷娜",2007
26803835,"画江湖之不良人II",8," 中国大陆 ","剧情","动画","武侠",NA,NA,NA," 关心 "," 边江 申秋香",2016
2327493,"宝莲灯",7.8," 中国大陆 ","剧情","奇幻","古装",NA,NA,NA," 余明生 "," 曹骏 舒畅",2005
26776531,"热血长安",6.5," 中国大陆 ","悬疑","古装",NA,NA,NA,NA," 王骏晔 "," 徐海乔 鞠婧祎",2017
35096882,"与君歌",5.6," 中国大陆 ","爱情","悬疑","古装",NA,NA,NA," 刘国楠 赵立军 "," 成毅 张予曦",2021
35152536,"爱的二八定律",5.8," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 林妍 "," 杨幂 许凯",2022
35359490,"重生之门",6.7," 中国大陆 ","悬疑","犯罪",NA,NA,NA,NA," 杨冬 "," 张译 王俊凯",2022
30313969,"斗罗大陆",6.4," 中国大陆 ","古装",NA,NA,NA,NA,NA," 杨振宇 "," 肖战 吴宣仪",2021
2411184,"汉武大帝",9.2," 中国大陆 ","剧情","历史","古装",NA,NA,NA," 胡玫 "," 陈宝国 焦晃",2005
25937995,"大秧歌",6.9," 中国大陆 ","剧情","战争",NA,NA,NA,NA," 郭靖宇 柏杉 刘礴 巨兴茂 "," 杨志刚 杨紫",2015
30258233,"天雷一部之春花秋月",6.2," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 黄纯 "," 李宏毅 赵露思",2019
27598254,"少年派",6.5," 中国大陆 ","剧情","爱情","家庭",NA,NA,NA," 刘惠宁 李少飞 "," 张嘉益 闫妮",2019
25800263,"灵魂摆渡",8.7," 中国大陆 ","剧情","惊悚","恐怖",NA,NA,NA," 巨兴茂 郭世民 "," 于毅 肖茵",2014
3023296,"封神榜",8.3," 中国香港 ","奇幻","古装",NA,NA,NA,NA," 刘仕裕 "," 陈浩民 温碧霞",2001
35231321,"变成你的那一天",7.6," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 王征 "," 张新成 梁洁",2021
26100709,"灵魂摆渡2",8.4," 中国大陆 ","剧情","惊悚","恐怖",NA,NA,NA," 巨兴茂 "," 于毅 刘智扬",2015
35524539,"时光代理人 第二季",7.8," 中国大陆 ","动画","悬疑",NA,NA,NA,NA," 李豪凌 "," 杨天翔 苏尚卿",2023
34463312,"少主且慢行 第一季",6.7," 中国大陆 ","爱情","悬疑","古装",NA,NA,NA," 周彤 代梦颖 "," 虞书欣 刘奕畅",2020
35725021,"一人之下 第五季",8.8," 中国大陆 ","剧情","动作","动画",NA,NA,NA," 陈烨 "," 曹云图 小连杀",2022
34972208,"少主且慢行 第二季",6.7," 中国大陆 ","爱情","悬疑","古装",NA,NA,NA," 周彤 "," 虞书欣 刘奕畅",2020
2138507,"奋斗",7.6," 中国大陆 ","喜剧","爱情",NA,NA,NA,NA," 赵宝刚 王迎 "," 马伊琍 佟大为",2007
35735782,"村里来了个暴走女外科",8.5," 中国台湾 ","剧情","喜剧",NA,NA,NA,NA," 赖孟杰 "," 蔡淑臻 朱轩洋",2022
2347485,"天道",9.2," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 张前 "," 王志文 左小青",2008
3696540,"喜羊羊与灰太狼",8.2," 中国大陆 ","喜剧","动画",NA,NA,NA,NA," 黄伟明 赵崇邦 "," 祖丽晴 张琳",2005
2154859,"大明宫词",9.1," 中国大陆 ","剧情","爱情","古装",NA,NA,NA," 李少红 曾念平 "," 陈红 归亚蕾",2000
27034748,"一人之下 第二季",8.9," 中国大陆 ","喜剧","动作","动画","奇幻",NA,NA," 陈烨 王昕 "," 曹云图 小连杀",2017
2274948,"恶作剧2吻",8.7," 中国台湾 ","喜剧","爱情",NA,NA,NA,NA," 瞿友宁 "," 郑元畅 林依晨",2007
7564975,"风中奇缘",7," 中国大陆 ","剧情","古装",NA,NA,NA,NA," 李国立 "," 刘诗诗 彭于晏",2014
35263440,"时光代理人",8.1," 中国大陆 ","动画",NA,NA,NA,NA,NA," 李豪凌 "," 杨天翔 苏尚卿",2021
35332288,"他从火光中走来",7.1," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 天毅 易勇 "," 黄景瑜 张婧仪",2023
2157188,"倚天剑屠龙刀",8.6," 中国香港 ","武侠","古装",NA,NA,NA,NA," 庄伟建 "," 吴启华 黎姿",2001
27611494,"三千鸦杀",5.3," 中国大陆 ","爱情","奇幻","古装",NA,NA,NA," 回宇 "," 郑业成 赵露思",2020
3901388,"我爱我家",9.4," 中国大陆 ","喜剧","家庭",NA,NA,NA,NA," 英达 "," 文兴宇 宋丹丹",1993
26298756,"无心法师",8.4," 中国大陆 ","剧情","奇幻",NA,NA,NA,NA," 林玉芬 高林豹 "," 韩东君 金晨",2015
35946038,"不完美受害人",7.5," 中国大陆 ","剧情","悬疑","犯罪",NA,NA,NA," 杨阳 "," 周迅 刘奕君",2023
26785790,"沙海",6.4," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 毛鲲宇 李泽露 邹曦 "," 吴磊 秦昊",2018
26766214,"风起陇西",8.1," 中国大陆 ","剧情","悬疑","历史","古装",NA,NA," 路阳 "," 陈坤 白宇",2022
1441794,"走向共和",9.6," 中国大陆 ","剧情","历史",NA,NA,NA,NA," 张黎 "," 王冰 吕中",2003
2373267,"闯关东",9.3," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 张新建 孔笙 "," 李幼斌 萨日娜",2008
24695611,"北平无战事",9," 中国大陆 ","剧情","战争",NA,NA,NA,NA," 孔笙 李雪 "," 刘烨 陈宝国",2014
26755568,"龙珠传奇之无间道",4.7," 中国大陆 ","剧情","爱情","古装",NA,NA,NA," 朱少杰 周靖韬 "," 杨紫 秦俊杰",2017
30474674,"民国奇探",7," 中国大陆 ","喜剧","悬疑",NA,NA,NA,NA," 张伟克 "," 胡一天 张云龙",2020
2157146,"孝庄秘史",8.6," 中国大陆 ","剧情","历史","古装",NA,NA,NA," 尤小刚 "," 宁静 马景涛",2002
35095038,"昆仑神宫",6.9," 中国大陆 ","剧情","动作","冒险",NA,NA,NA," 蔡岳勋 "," 潘粤明 张雨绮",2022
35459225,"浮图缘",6.6," 中国大陆 ","剧情","爱情","古装",NA,NA,NA," 吴强 "," 王鹤棣 陈钰琪",2022
3032552,"魔幻手机",8.5," 中国大陆 ","喜剧","奇幻",NA,NA,NA,NA," 余明生 "," 李滨 陈创",2008
27068534,"风声",8," 中国大陆 ","剧情","悬疑","战争",NA,NA,NA," 李云亮 "," 徐璐 文咏珊",2020
35561680,"特工任务",8," 中国大陆 ","剧情","犯罪",NA,NA,NA,NA," 赵宝刚 "," 韩庚 魏大勋",2023
26685864,"鸡毛飞上天",8.1," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 余丁 "," 张译 殷桃",2017
2377277,"神探狄仁杰2",9.1," 中国大陆 ","剧情","动作","悬疑","古装",NA,NA," 钱雁秋 "," 梁冠华 张子健",2006
35479713,"你安全吗？",7.3," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 曹盾 杨彪 "," 檀健次 荣梓杉",2022
26657015,"太子妃升职记",7.2," 中国大陆 ","喜剧","爱情","古装",NA,NA,NA," 侣皓吉吉 "," 张天爱 盛一伦",2015
26611039,"九州天空城",6.2," 中国大陆 ","奇幻","古装",NA,NA,NA,NA," 杨磊 "," 张若昀 关晓彤",2016
2229479,"穿越时空的爱恋",7.9," 中国大陆 ","剧情","奇幻","古装",NA,NA,NA," 孙太泉 杨军 "," 张庭 徐峥",2002
2982064,"风云",7.7," 中国大陆 ","动作","奇幻","武侠",NA,NA,NA," 徐进良 "," 赵文卓 何润东",2002
35490184,"好事成双",6.1," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 滕华涛 王为 "," 张小斐 黄晓明",2023
2156667,"西游记续集",9.1," 中国大陆 ","剧情","动作","奇幻","冒险","古装",NA," 杨洁 "," 六小龄童 徐少华",2000
27202985,"怒晴湘西",7.1," 中国大陆 ","剧情","奇幻","冒险",NA,NA,NA," 费振翔 "," 潘粤明 高伟光",2019
35203351,"二十不惑2",8.1," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 黎志 "," 关晓彤 卜冠今",2022
35166507,"破事精英",7.8," 中国大陆 ","喜剧",NA,NA,NA,NA,NA," 韦正 "," 李佳航 成果",2022
35515954,"救了一万次的你",6.1," 中国大陆 ","爱情","奇幻",NA,NA,NA,NA," 邓安宁 "," 白客 张雅钦",2022
27121260,"灵笼",8.3," 中国大陆 ","动作","科幻","动画","冒险",NA,NA," 董相博 "," 黄莺 李元韬",2019
34949767,"叛逆者",7.7," 中国大陆 ","剧情","悬疑",NA,NA,NA,NA," 周游 "," 朱一龙 童瑶",2021
2326686,"第8号当铺",8.2," 中国台湾 ","剧情","奇幻",NA,NA,NA,NA," 陈俊良 "," 杜德伟 天心",2003
26801052,"那年花开月正圆",7.2," 中国大陆 ","剧情","古装",NA,NA,NA,NA," 丁黑 "," 孙俪 陈晓",2017
26322639,"小别离",8," 中国大陆 ","剧情","家庭",NA,NA,NA,NA," 汪俊 "," 黄磊 海清",2016
4861422,"怪侠一枝梅",8.5," 中国大陆 ","剧情","喜剧","武侠","古装",NA,NA," 李国立 吴锦源 游达志 梁胜权 "," 霍建华 刘诗诗",2010
26315292,"旋风少女 第一季",7.1," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 成志超 "," 胡冰卿 杨洋",2015
35042912,"云南虫谷",6.1," 中国大陆 ","剧情","动作","冒险",NA,NA,NA," 费振翔 李磊 "," 潘粤明 张雨绮",2021
2375707,"神雕侠侣",7.8," 中国大陆 ","武侠","古装",NA,NA,NA,NA," 于敏 "," 黄晓明 刘亦菲",2006
27180943,"重启之极海听雷 第一季",7.1," 中国大陆 ","悬疑","冒险",NA,NA,NA,NA," 潘安子 "," 朱一龙 毛晓彤",2020
30395914,"雾山五行",8.7," 中国大陆 ","动作","动画","奇幻",NA,NA,NA," 林魂 "," 郭盛 郝祥海",2020
1922656,"法证先锋",8.8," 中国香港 ","剧情","犯罪",NA,NA,NA,NA," 梅小青 "," 欧阳震华 林文龙",2006
35633718,"回来的女儿",6.2," 中国大陆 ","悬疑","家庭",NA,NA,NA,NA," 吕行 "," 张子枫 王砚辉",2022
36135482,"凶案深处",6," 中国大陆 ","悬疑","犯罪",NA,NA,NA,NA," 李昱彤 "," 马思超 刘怡潼",2023
2239286,"宰相刘罗锅",8.3," 中国大陆 ","喜剧","古装",NA,NA,NA,NA," 张子恩 石零 "," 李保田 张国立",1996
21766654,"芈月传",6.1," 中国大陆 ","剧情","古装",NA,NA,NA,NA," 郑晓龙 "," 孙俪 刘涛",2015
26986804,"绝代双骄",5.9," 中国大陆 ","武侠","古装",NA,NA,NA,NA," 邹集城 刘方 "," 胡一天 陈哲远",2020
34982236,"天才基本法",7.3," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 沈严 "," 雷佳音 张子枫",2022
30122638,"流金岁月",6.4," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 沈严 "," 刘诗诗 倪妮",2020
35750094,"对你不止是喜欢",5.9," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 刘栋 "," 魏哲鸣 黄日莹",2023
27015848,"魔道祖师 第一季",8.8," 中国大陆 ","剧情","动画","古装",NA,NA,NA," 熊可 "," 张杰 边江",2018
26889177,"异物志",8.5," 中国大陆 ","动作","悬疑","奇幻",NA,NA,NA," 李洪绸 车志刚 邢冬冬 "," 邵庄 杨羽",2022
24530693,"微时代",7," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 刘一志 "," 肖雨雨 迪丽热巴",2014
34807445,"哦！我的皇帝陛下 第二季",4.8," 中国大陆 ","爱情","古装",NA,NA,NA,NA," 高博 "," 谷嘉诚 赵露思",2018
1478186,"射雕英雄传",9.2," 中国香港 ","剧情","动作","武侠","古装",NA,NA," 杜琪峰 "," 黄日华 翁美玲",1983
35169989,"一人之下 第四季",8.1," 中国大陆 ","剧情","动画","冒险",NA,NA,NA," 陈烨 "," 曹云图 小连杀",2021
2311147,"绝代双骄",7.7," 中国台湾 中国大陆 ","剧情","武侠","古装",NA,NA,NA," 李国立 "," 苏有朋 林志颖",1999
30148173,"你微笑时很美",3.2," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 裘仲维 "," 许凯 程潇",2021
10477598,"罗小黑战记",9.6," 中国大陆 ","剧情","喜剧","动作","动画","奇幻",NA," 木头 "," 山新 皇贞季",2011
2190934,"陀枪师姐",8.6," 中国香港 ","剧情","犯罪",NA,NA,NA,NA," 邝业生 "," 关咏荷 滕丽名",1998
3237723,"三国",7.9," 中国大陆 ","剧情","历史","战争",NA,NA,NA," 高希希 "," 陈建斌 陆毅",2010
35551677,"花轿喜事",4," 中国大陆 ","剧情","爱情","古装",NA,NA,NA," 澄丰 "," 田曦薇 敖瑞鹏",2023
1864236,"水月洞天",8.6," 中国大陆 ","动作","奇幻","古装",NA,NA,NA," 梁国冠 李达超 "," 于波 蔡少芬",2004
35235428,"对手",7.8," 中国大陆 ","剧情","悬疑",NA,NA,NA,NA," 卢伦常 "," 郭京飞 谭卓",2021
33442334,"风起洛阳",6.3," 中国大陆 ","剧情","悬疑","古装",NA,NA,NA," 谢泽 "," 黄轩 王一博",2021
27006122,"端脑",7.4," 中国大陆 ","科幻","悬疑",NA,NA,NA,NA," 于中中 "," 朱元冰 蒋依依",2017
35240435,"逆局",8.2," 中国台湾 ","悬疑","犯罪",NA,NA,NA,NA," 庄绚维 陈冠仲 "," 周渝民 朱轩洋",2021
35390178,"见面吧就现在",7.6," 中国大陆 ","剧情","爱情",NA,NA,NA,NA," 姜好 猫的树 "," 卢洋洋 何与",2022
2155290,"笑傲江湖",8.5," 中国大陆 ","剧情","爱情","武侠",NA,NA,NA," 黄健中 元彬 "," 李亚鹏 许晴",2001
4059238,"下一站，幸福",8.4," 中国台湾 ","剧情","爱情",NA,NA,NA,NA," 陈慧翎 "," 吴建豪 安以轩",2009
26344999,"锦绣未央",4.9," 中国大陆 ","剧情","爱情","古装",NA,NA,NA," 李慧珠 "," 唐嫣 罗晋",2016
27624762,"伍六七",8.8," 中国大陆 ","剧情","喜剧","动作","动画",NA,NA," 何小疯 "," 何小疯 姜广涛",2018
35907887,"闪耀的她",6.3," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 王迎 "," 秦岚 王阳",2023
35633618,"今日宜加油",7.9," 中国大陆 ","剧情",NA,NA,NA,NA,NA," 吴强 于中中 "," 郑恺 陈钰琪",2023
30230682,"宸汐缘",8.3," 中国大陆 ","剧情","爱情","奇幻","古装",NA,NA," 林玉芬 梁胜权 任海涛 郭虎 "," 张震 倪妮",2019
2252733,"康熙微服私访记1",7.7," 中国大陆 ","剧情","历史","古装",NA,NA,NA," 张子恩 "," 张国立 邓婕",1997
26877434,"从前有座灵剑山",7," 中国大陆 ","喜剧",NA,NA,NA,NA,NA," 于中中 "," 许凯 张榕容",2019
2190914,"橘子红了",8," 中国大陆 ","剧情","爱情","家庭","古装",NA,NA," 李少红 "," 周迅 归亚蕾",2002
34845712,"三叉戟",7.5," 中国大陆 ","剧情","犯罪",NA,NA,NA,NA," 刘海波 "," 陈建斌 董勇",2020
35082299,"一不小心捡到爱",4.3," 中国大陆 ","爱情",NA,NA,NA,NA,NA," 钟青 "," 赵露思 刘特",2021
35461571,"郎君不如意",6," 中国大陆 ","喜剧","爱情","奇幻","古装",NA,NA," 澄丰 "," 吴宣仪 陈哲远",2023
26435736,"狐妖小红娘",8.9," 中国大陆 ","喜剧","爱情","动画",NA,NA,NA," 王昕 "," 杨天翔 张杰",2015
36093359,"伍六七之暗影宿命",8.2," 中国大陆 ","喜剧","动作","动画","冒险","武侠",NA," 何小疯 "," 何小疯 段艺璇",2023
2148374,"不要和陌生人说话",8.2," 中国大陆 ","剧情","家庭",NA,NA,NA,NA," 张建栋 "," 冯远征 梅婷",2001
36017435,"凡人修仙传：初入星海",9," 中国大陆 ","动作","动画","奇幻","冒险","古装",NA," 王裕仁 赵侠 "," 钱文青 李诗萌",2022
26359236,"凤囚凰",3.8," 中国大陆 ","剧情","爱情","古装",NA,NA,NA," 李慧珠 邓伟恩 李公乐 黄斌 "," 关晓彤 宋威龙",2018
27087788,"虎啸龙吟",8.4," 中国大陆 ","剧情","战争","古装",NA,NA,NA," 张永新 "," 吴秀波 刘涛",2017
34456079,"一人之下 第三季",7.4," 中国大陆 ","动画",NA,NA,NA,NA,NA," 危天行 黄成希 "," 曹云图 小连杀",2020
